Feature,Role,Variable Type,Demographic,Description
B14004032,Feature,Integer,Total Female Not enrolled in college or graduate school 25 to 34 years,Number of total female not enrolled in college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004033,Feature,Integer,Total Female Not enrolled in college or graduate school 35 years and over,Number of total female not enrolled in college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14007001,Feature,Integer,Total population 3 years and over,Number of total population 3 years and over in the census tract (ACS 5-year estimate).
B14007002,Feature,Integer,Population 3 years and over enrolled in school,Number of population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14007003,Feature,Integer,"Population 3 years and over enrolled in nursery school, preschool",Number of population 3 years and over enrolled in nursery school or preschool in the census tract (ACS 5-year estimate).
B14007004,Feature,Integer,Population 3 years and over enrolled in kindergarten,Number of population 3 years and over enrolled in kindergarten in the census tract (ACS 5-year estimate).
B14007005,Feature,Integer,Population 3 years and over enrolled in grade 1,Number of population 3 years and over enrolled in grade 1 in the census tract (ACS 5-year estimate).
B14007006,Feature,Integer,Population 3 years and over enrolled in grade 2,Number of population 3 years and over enrolled in grade 2 in the census tract (ACS 5-year estimate).
B14007007,Feature,Integer,Population 3 years and over enrolled in grade 3,Number of population 3 years and over enrolled in grade 3 in the census tract (ACS 5-year estimate).
B14007008,Feature,Integer,Population 3 years and over enrolled in grade 4,Number of population 3 years and over enrolled in grade 4 in the census tract (ACS 5-year estimate).
B14007009,Feature,Integer,Population 3 years and over enrolled in grade 5,Number of population 3 years and over enrolled in grade 5 in the census tract (ACS 5-year estimate).
B14007010,Feature,Integer,Population 3 years and over enrolled in grade 6,Number of population 3 years and over enrolled in grade 6 in the census tract (ACS 5-year estimate).
B14007011,Feature,Integer,Population 3 years and over enrolled in grade 7,Number of population 3 years and over enrolled in grade 7 in the census tract (ACS 5-year estimate).
B14007012,Feature,Integer,Population 3 years and over enrolled in grade 8,Number of population 3 years and over enrolled in grade 8 in the census tract (ACS 5-year estimate).
B14007013,Feature,Integer,Population 3 years and over enrolled in grade 9,Number of population 3 years and over enrolled in grade 9 in the census tract (ACS 5-year estimate).
B14007014,Feature,Integer,Population 3 years and over enrolled in grade 10,Number of population 3 years and over enrolled in grade 10 in the census tract (ACS 5-year estimate).
B14007015,Feature,Integer,Population 3 years and over enrolled in grade 11,Number of population 3 years and over enrolled in grade 11 in the census tract (ACS 5-year estimate).
B14007016,Feature,Integer,Population 3 years and over enrolled in grade 12,Number of population 3 years and over enrolled in grade 12 in the census tract (ACS 5-year estimate).
B14007017,Feature,Integer,"Population 3 years and over enrolled in college, undergraduate years",Number of population 3 years and over enrolled in college (undergraduate) in the census tract (ACS 5-year estimate).
B14007018,Feature,Integer,Population 3 years and over enrolled in graduate or professional school,Number of population 3 years and over enrolled in graduate or professional school in the census tract (ACS 5-year estimate).
B14007019,Feature,Integer,Population 3 years and over not enrolled in school,Number of population 3 years and over not enrolled in school in the census tract (ACS 5-year estimate).
B15002001,Feature,Integer,Total population 25 years and over,Number of total population 25 years and over in the census tract (ACS 5-year estimate).
B15002002,Feature,Integer,Male population 25 years and over,Number of male population 25 years and over in the census tract (ACS 5-year estimate).
B15002003,Feature,Integer,Male no schooling completed,Number of male no schooling completed in the census tract (ACS 5-year estimate).
B15002004,Feature,Integer,Male nursery to 4th grade,Number of male nursery to 4th grade in the census tract (ACS 5-year estimate).
B15002005,Feature,Integer,Male 5th and 6th grade,Number of male 5th and 6th grade in the census tract (ACS 5-year estimate).
B15002006,Feature,Integer,Male 7th and 8th grade,Number of male 7th and 8th grade in the census tract (ACS 5-year estimate).
B15002007,Feature,Integer,Male 9th grade,Number of male 9th grade in the census tract (ACS 5-year estimate).
B15002008,Feature,Integer,Male 10th grade,Number of male 10th grade in the census tract (ACS 5-year estimate).
B15002009,Feature,Integer,Male 11th grade,Number of male 11th grade in the census tract (ACS 5-year estimate).
